statistic,Answer Relevancy,Contextual Relevancy
count,10.0,10.0
null_count,0.0,0.0
mean,0.990096618357488,0.4693140086645869
std,0.021071331872042888,0.2451653256068754
min,0.9444444444444444,0.0
25%,1.0,0.26666666666666666
50%,1.0,0.6170212765957447
75%,1.0,0.6777777777777778
max,1.0,0.7078651685393258
